"protein_class_pref_name","protein_class_short_name","go_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"AGC protein kinase AKT family","Akt","aging",0.01289377105065365,0,4
"AGC protein kinase AKT family","Akt","anatomical structure development",0.01289377105065365,0,7
"AGC protein kinase AKT family","Akt","biosynthetic process",0.01289377105065365,0,4
"AGC protein kinase AKT family","Akt","carbohydrate metabolic process",0.01289377105065365,0,2
"AGC protein kinase AKT family","Akt","catabolic process",0.01289377105065365,0,4
"AGC protein kinase AKT family","Akt","cell death",0.01289377105065365,0,8
"AGC protein kinase AKT family","Akt","cell differentiation",0.01289377105065365,0,10
"AGC protein kinase AKT family","Akt","cell proliferation",0.01289377105065365,0,4
"AGC protein kinase AKT family","Akt","cell-cell signaling",0.01289377105065365,0,2
"AGC protein kinase AKT family","Akt","cellular nitrogen compound metabolic process",0.01289377105065365,0,5
"AGC protein kinase AKT family","Akt","cellular protein modification process",0.01289377105065365,0,13
"AGC protein kinase AKT family","Akt","circulatory system process",0.01289377105065365,0,1
"AGC protein kinase AKT family","Akt","embryo development",0.01289377105065365,0,5
"AGC protein kinase AKT family","Akt","female pregnancy",0.01289377105065365,0,2
"AGC protein kinase AKT family","Akt","generation of precursor metabolites and energy",0.01289377105065365,0,2
"AGC protein kinase AKT family","Akt","homeostatic process",0.01289377105065365,0,3
"AGC protein kinase AKT family","Akt","immune system process",0.01289377105065365,0,5
"AGC protein kinase AKT family","Akt","metabolic process",0.01289377105065365,0,1
"AGC protein kinase AKT family","Akt","mitochondrion organization",0.01289377105065365,0,2
"AGC protein kinase AKT family","Akt","multicellular organismal development",0.01289377105065365,0,10
"AGC protein kinase AKT family","Akt","negative regulation of endopeptidase activity",0.01289377105065365,0,1
"AGC protein kinase AKT family","Akt","nucleocytoplasmic transport",0.01289377105065365,0,4
"AGC protein kinase AKT family","Akt","phosphorylation",0.01289377105065365,0,13
"AGC protein kinase AKT family","Akt","plasma membrane organization",0.01289377105065365,0,2
"AGC protein kinase AKT family","Akt","positive regulation of apoptotic process",0.01289377105065365,0,5
"AGC protein kinase AKT family","Akt","positive regulation of catalytic activity",0.01289377105065365,0,7
"AGC protein kinase AKT family","Akt","protein targeting",0.01289377105065365,0,3
"AGC protein kinase AKT family","Akt","regulation of catalytic activity",0.01289377105065365,0,5
"AGC protein kinase AKT family","Akt","regulation of protein localization",0.01289377105065365,0,5
"AGC protein kinase AKT family","Akt","reproduction",0.01289377105065365,0,4
"AGC protein kinase AKT family","Akt","response to stress",0.01289377105065365,0,10
"AGC protein kinase AKT family","Akt","signal transduction",0.01289377105065365,0,13
"AGC protein kinase AKT family","Akt","small molecule metabolic process",0.01289377105065365,0,2
"AGC protein kinase AKT family","Akt","translation",0.01289377105065365,0,1
"AGC protein kinase AKT family","Akt","transport",0.01289377105065365,0,2
"AGC protein kinase PKC iota subfamily","Iota","cell differentiation",0.0072330910771959515,0,10
"AGC protein kinase PKC iota subfamily","Iota","cell morphogenesis",0.0072330910771959515,0,6
"AGC protein kinase PKC iota subfamily","Iota","cell motility",0.0072330910771959515,0,4
"AGC protein kinase PKC iota subfamily","Iota","cellular protein modification process",0.0072330910771959515,0,13
"AGC protein kinase PKC iota subfamily","Iota","cytoskeleton organization",0.0072330910771959515,0,5
"AGC protein kinase PKC iota subfamily","Iota","cytoskeleton-dependent intracellular transport",0.0072330910771959515,0,1
"AGC protein kinase PKC iota subfamily","Iota","growth",0.0072330910771959515,0,3
"AGC protein kinase PKC iota subfamily","Iota","microtubule-based process",0.0072330910771959515,0,3
"AGC protein kinase PKC iota subfamily","Iota","multicellular organismal development",0.0072330910771959515,0,10
"AGC protein kinase PKC iota subfamily","Iota","neurological system process",0.0072330910771959515,0,3
"AGC protein kinase PKC iota subfamily","Iota","phosphorylation",0.0072330910771959515,0,13
"AGC protein kinase PKC iota subfamily","Iota","plasma membrane organization",0.0072330910771959515,0,2
"AGC protein kinase PKC iota subfamily","Iota","positive regulation of catalytic activity",0.0072330910771959515,0,7
"AGC protein kinase PKC iota subfamily","Iota","protein complex assembly",0.0072330910771959515,0,6
"AGC protein kinase PKC iota subfamily","Iota","regulation of catalytic activity",0.0072330910771959515,0,5
"AGC protein kinase PKC iota subfamily","Iota","regulation of protein localization",0.0072330910771959515,0,5
"AGC protein kinase PKC iota subfamily","Iota","response to stress",0.0072330910771959515,0,10
"AGC protein kinase PKC iota subfamily","Iota","signal transduction",0.0072330910771959515,0,13
"Atypical protein kinase PIKK family","Pikk","DNA metabolic process",0.047801297553642805,0,2
"Atypical protein kinase PIKK family","Pikk","anatomical structure development",0.047801297553642805,0,7
"Atypical protein kinase PIKK family","Pikk","anatomical structure formation involved in morphogenesis",0.047801297553642805,0,4
"Atypical protein kinase PIKK family","Pikk","cell adhesion",0.047801297553642805,0,3
"Atypical protein kinase PIKK family","Pikk","cell cycle",0.047801297553642805,0,5
"Atypical protein kinase PIKK family","Pikk","cell death",0.047801297553642805,0,8
"Atypical protein kinase PIKK family","Pikk","cell differentiation",0.047801297553642805,0,10
"Atypical protein kinase PIKK family","Pikk","cell proliferation",0.047801297553642805,0,4
"Atypical protein kinase PIKK family","Pikk","cellular protein modification process",0.047801297553642805,0,13
"Atypical protein kinase PIKK family","Pikk","chromosome organization",0.047801297553642805,0,3
"Atypical protein kinase PIKK family","Pikk","embryo development",0.047801297553642805,0,5
"Atypical protein kinase PIKK family","Pikk","homeostatic process",0.047801297553642805,0,3
"Atypical protein kinase PIKK family","Pikk","immune system process",0.047801297553642805,0,5
"Atypical protein kinase PIKK family","Pikk","multicellular organismal development",0.047801297553642805,0,10
"Atypical protein kinase PIKK family","Pikk","phosphorylation",0.047801297553642805,0,13
"Atypical protein kinase PIKK family","Pikk","positive regulation of apoptotic process",0.047801297553642805,0,5
"Atypical protein kinase PIKK family","Pikk","reproduction",0.047801297553642805,0,4
"Atypical protein kinase PIKK family","Pikk","response to stress",0.047801297553642805,0,10
"Atypical protein kinase PIKK family","Pikk","signal transduction",0.047801297553642805,0,13
"CAMK protein kinase RAD53 family","Rad53","DNA metabolic process",0.015095146595887201,0,2
"CAMK protein kinase RAD53 family","Rad53","aging",0.015095146595887201,0,4
"CAMK protein kinase RAD53 family","Rad53","biosynthetic process",0.015095146595887201,0,4
"CAMK protein kinase RAD53 family","Rad53","catabolic process",0.015095146595887201,0,4
"CAMK protein kinase RAD53 family","Rad53","cell cycle",0.015095146595887201,0,5
"CAMK protein kinase RAD53 family","Rad53","cell death",0.015095146595887201,0,8
"CAMK protein kinase RAD53 family","Rad53","cell division",0.015095146595887201,0,2
"CAMK protein kinase RAD53 family","Rad53","cellular nitrogen compound metabolic process",0.015095146595887201,0,5
"CAMK protein kinase RAD53 family","Rad53","cellular protein modification process",0.015095146595887201,0,13
"CAMK protein kinase RAD53 family","Rad53","cellular response to drug",0.015095146595887201,0,1
"CAMK protein kinase RAD53 family","Rad53","cytoskeleton organization",0.015095146595887201,0,5
"CAMK protein kinase RAD53 family","Rad53","microtubule-based process",0.015095146595887201,0,3
